...1,election,state,year,pollName,endDate,numberOfRespondents,democratic,republican,electionDate,startDate,someoneElse,undecided,refuseToAnswer,populationType,Mode,check,finalTwoPartyVSDemocratic,finalTwoPartyVSRepublican
1,Pres,AZ,2020,Data Orbital,2020-10-30,550,46,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
2,Pres,WI,2020,Research Co.,2020-11-01,450,50,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
3,Pres,PA,2020,Research Co.,2020-11-01,450,50,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
4,Pres,OH,2020,Research Co.,2020-11-01,450,47,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.92427164754847,54.07572835245153
5,Pres,NY,2020,Research Co.,2020-11-01,450,61,33,2020-11-03,NA,NA,NA,NA,NA,NA,0,61.71787851130717,38.28212148869283
6,Pres,NJ,2020,Research Co.,2020-11-01,450,56,38,2020-11-03,NA,NA,NA,NA,NA,NA,0,58.067456700091164,41.93254329990884
7,Pres,MN,2020,Research Co.,2020-11-01,450,52,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.64455364455364,46.355446355446354
8,Pres,MI,2020,Research Co.,2020-11-01,450,50,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
9,Pres,IL,2020,Research Co.,2020-11-01,450,55,38,2020-11-03,NA,NA,NA,NA,NA,NA,0,58.6604139055969,41.339586094403096
10,Pres,IA,2020,Public Policy Polling,2020-11-02,871,49,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.81547254541743,54.184527454582565
11,Pres,WI,2020,Morning Consult,2020-10-31,1002,54,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
12,Pres,TX,2020,Morning Consult,2020-10-31,3267,48,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
13,Pres,SC,2020,Morning Consult,2020-10-31,904,45,51,2020-11-03,NA,NA,NA,NA,NA,NA,0,44.07347270144104,55.926527298558966
14,Pres,PA,2020,Morning Consult,2020-10-31,2686,52,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
15,Pres,OH,2020,Morning Consult,2020-10-31,2179,47,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.92427164754847,54.07572835245153
16,Pres,NC,2020,Morning Consult,2020-10-31,1982,49,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
17,Pres,MO,2020,Morning Consult,2020-10-31,1109,43,52,2020-11-03,NA,NA,NA,NA,NA,NA,0,42.16474900722941,57.8352509927706
18,Pres,MN,2020,Morning Consult,2020-10-31,883,52,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.64455364455364,46.355446355446354
19,Pres,MI,2020,Morning Consult,2020-10-31,1736,52,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
20,Pres,IN,2020,Morning Consult,2020-10-31,1147,42,53,2020-11-03,NA,NA,NA,NA,NA,NA,0,41.80444988773219,58.19555011226781
21,Pres,GA,2020,Morning Consult,2020-10-31,1743,49,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
22,Pres,FL,2020,Morning Consult,2020-10-31,4451,52,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
23,Pres,CO,2020,Morning Consult,2020-10-31,727,54,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,56.93730729701953,43.06269270298047
24,Pres,AZ,2020,Morning Consult,2020-10-31,1059,48,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
25,Pres,PA,2020,Monmouth University,2020-11-01,502,51,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
26,Pres,FL,2020,Targoz Market Research,2020-10-30,1027,51,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
27,Pres,PA,2020,Targoz Market Research,2020-10-30,998,56,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
28,Pres,MI,2020,Targoz Market Research,2020-10-30,993,53,39,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
29,Pres,MN,2020,Targoz Market Research,2020-10-30,1138,53,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.64455364455364,46.355446355446354
30,Pres,WI,2020,AtlasIntel,2020-10-31,781,51,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
