election,state,year,pollName,endDate,numberOfRespondents,democratic,republican,electionDate,startDate,someoneElse,undecided,refuseToAnswer,populationType,Mode,check,finalTwoPartyVSDemocratic,finalTwoPartyVSRepublican
Sen,CA,1992,KCAL-TV,1992-10-27,588,308,280,1992-11-03,NA,NA,NA,NA,NA,NA,NA,52.69557915965937,47.30442084034062
Sen,IL,1992,Market Shares Corp.,1992-10-17,820,500,320,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,OH,1992,Gordon S. Black Corp.,1992-10-05,971,562,409,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,NC,1992,Raleigh News & Observer,1992-10-25,699,375,324,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.91571274544969,52.08428725455031
Sen,MO,1992,Hickman Analytics,1992-08-29,720,328,392,1992-11-03,NA,NA,NA,NA,NA,NA,NA,46.40474799505295,53.595252004947056
Sen,SC,1992,Greenville News,1992-10-19,560,296,264,1992-11-03,NA,NA,NA,NA,NA,NA,NA,51.60910055069683,48.390899449303184
Sen,IN,1992,Mason-Dixon Polling & Research Inc.,1992-09-06,684,225,459,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.51744368788668,58.48255631211331
Sen,CT,1992,Quinnipiac University,1992-10-20,534,327,207,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.67413490121072,39.32586509878929
Sen,ND,1992,KTHI-TV,1992-09-24,359,241,118,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.282882199169904,39.71711780083009
Sen,WA,1992,Evans/McDonough,1992-10-10,546,306,240,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.99188390999999,46.00811609
Sen,PA,1992,Hickman Analytics,1992-10-04,564,282,282,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,AZ,1992,Public Opinion Strategies,1992-09-29,480,162,318,1992-11-03,NA,NA,NA,NA,NA,NA,NA,36.127781694322216,63.872218305677784
Sen,CO,1992,Hill Research Consultants,1992-09-27,329,176,153,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,KS,1992,Kansas City Star,1992-09-21,659,200,459,1992-11-03,NA,NA,NA,NA,NA,NA,NA,33.10613760219584,66.89386239780416
Sen,MO,1992,Kansas City Star,1992-10-12,656,272,384,1992-11-03,NA,NA,NA,NA,NA,NA,NA,46.40474799505295,53.595252004947056
Sen,NC,1992,Mason-Dixon Polling & Research Inc.,1992-10-09,666,390,276,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.91571274544969,52.08428725455031
